name,artists,primary_color,album_name,album_image,album_type,spotify_url
Superstar Sh*t,Dominic Fike,undefined,What Could Possibly Go Wrong,https://i.scdn.co/image/ab67616d0000b273cfc824b65a3b1755d98a7e23,album,https://open.spotify.com/track/20j7l6tFtc5lynXpbOQg1O
Call You,lucidbeatz,undefined,Call You,https://i.scdn.co/image/ab67616d0000b273d78127b5ff5aebd5b74c1d91,single,https://open.spotify.com/track/74kNeUIhYkQHoWxXODvWJG
vent,Baby Keem,undefined,The Melodic Blue,https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39,album,https://open.spotify.com/track/1ITpqT1kDATCtMBwOK7sYn
John Linen (feat. Alex Vince and ivuss),Dirty Heads, Alex Vince, ivuss,undefined,Midnight Control Sessions: Night 2,https://i.scdn.co/image/ab67616d0000b273f448b16c734081cf6f21e91f,single,https://open.spotify.com/track/0VZ9pSyyEM2n6ZQTAB8tUS
Where I Go,Yunggoth✰,undefined,Where I Go,https://i.scdn.co/image/ab67616d0000b2734c175f29618d04fe1cfac2fb,single,https://open.spotify.com/track/6jTaYYPtl6SeMivvtcmhni
Meteor,Kenya Grace,undefined,Meteor,https://i.scdn.co/image/ab67616d0000b273d8740eb017f2239f66292d4c,single,https://open.spotify.com/track/3q53rFJ6wnhLhm6W8VlA8P
RASEN in OKINAWA,Awich, tubakiii, OZworld, CHICO CARLITO,undefined,098RADIO vol.1 Hosted by Awich,https://i.scdn.co/image/ab67616d0000b2734a1a808e5c54a7360a707f66,compilation,https://open.spotify.com/track/6JDDIx1vSs5GvMZXsy2aR2
Let U Go,lucidbeatz,undefined,Let U Go,https://i.scdn.co/image/ab67616d0000b2734cc7fcc1b983d45c9ce17bdc,single,https://open.spotify.com/track/40TZnaw4eDPChJNHw2Swf3
Born for this,Hola Beats,undefined,Do it or die,https://i.scdn.co/image/ab67616d0000b273d82ebd8bdcae3cef0eff90c4,album,https://open.spotify.com/track/5kFXhG94UT73C96CQElyI0
After Dark,Mr.Kitty,undefined,Time,https://i.scdn.co/image/ab67616d0000b273b492477206075438e0751176,album,https://open.spotify.com/track/2LKOHdMsL0K9KwcPRlJK2v
Low Down,Lil Baby,undefined,My Turn (Deluxe),https://i.scdn.co/image/ab67616d0000b27376a4577dd654bf457a4ad1f8,album,https://open.spotify.com/track/5m0yZ33oOy0yYBtdTXuxQe
Escape - Subtronics Remix,deadmau5, Kaskade, Kx5, Hayla, Subtronics,undefined,Escape (Subtronics Remix),https://i.scdn.co/image/ab67616d0000b27390437857156526859e13afda,single,https://open.spotify.com/track/11IQ89bxoC3bklnfP5TZiM
Doublë,Yeat,undefined,2 Alivë,https://i.scdn.co/image/ab67616d0000b27372b69f1f356613717909d6db,album,https://open.spotify.com/track/1cfhlm0L8NXdQW6h8iMjxN
Always,camoufly,undefined,In Plain Sight,https://i.scdn.co/image/ab67616d0000b27373b3f8aa709236fc885b859b,single,https://open.spotify.com/track/7Lg4dEz9IVE5iUILPEdyUv
Silent Hill,Kendrick Lamar, Kodak Black,undefined,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,album,https://open.spotify.com/track/3lzUeaCbcCDB5IXYfqWRlF
SIMPLE,$NOT,undefined,SIMPLE,https://i.scdn.co/image/ab67616d0000b2732b8cd61360e6fb9610214e9e,single,https://open.spotify.com/track/43KrLcrVbDBimYtjKswIL3
The Perfect Girl,Mareux,undefined,The Perfect Girl,https://i.scdn.co/image/ab67616d0000b2733d54a30e59638f60f56dd4e6,single,https://open.spotify.com/track/5RBOcBpJXaNnHCGViJmYhh
die,lucidbeatz, Key Kelly,undefined,die,https://i.scdn.co/image/ab67616d0000b273ea774057b4d01dd7c0c9f68e,single,https://open.spotify.com/track/4ZIam3omF73NPEKufXiTvi
Telly Man,Jaybexo, HeyJamo!,undefined,Telly Man,https://i.scdn.co/image/ab67616d0000b2733d01f9ef536ff759c7478396,single,https://open.spotify.com/track/4W2YBGMP9tr8IYwJ20UNvF
Rihanna,Finesse, BNMP, Jesse Baez, Indigo Jams,undefined,El Dorado,https://i.scdn.co/image/ab67616d0000b2736c846441d89172615187137a,album,https://open.spotify.com/track/4Qjd4QJTu4vQyN9cUg4tIn
